nct_id,brief_title,overall_status,phase,enrollment,sponsor,interventions,primary_outcomes,countries,study_start,primary_completion,last_update_posted,source_url,retrieved_at
NCT04937738,Perioperative Chemotherapy in Gastric Cancer,TERMINATED,PHASE2,69,Ukrainian Society of Clinical Oncology,Docetaxel; Oxaliplatin; Leucovorin; Fluorouracil; Capecitabine; Oxaliplatin,Proportion of patients who complete all the treatment per protocol,Ukraine,2021-07-21,2023-02-01,,https://clinicaltrials.gov/study/NCT04937738,2026-09-21T00:38:01.688814+00:00
NCT02789826,Laparoscopic Versus Open Resection of Cancer Stomach,COMPLETED,NA,73,Assiut University,Laparoscopic gastrectomy; Open gastrectomy,The number of lymph nodes in the postoperative spicement.,Egypt,2016-06,2019-12,,https://clinicaltrials.gov/study/NCT02789826,2026-09-21T00:38:01.688820+00:00
NCT06563063,Finding ED90 of Flumazenil for Selective Improvement of Respiratory Distress by Remimazolam,COMPLETED,NA,60,Yonsei University,Flumazenil,Whether it was successful or unsuccessful to improve the patient's respiratory distress,South Korea,2023-08-23,2023-12-01,,https://clinicaltrials.gov/study/NCT06563063,2026-09-21T00:38:01.688826+00:00
NCT02572687,A Study of Ramucirumab (LY3009806) Plus MEDI4736 in Participants With Advanced Gastrointestinal or Thoracic Malignancies,COMPLETED,PHASE1,85,Eli Lilly and Company,Ramucirumab; MEDI4736,Number of Participants with Dose Limiting Toxicities (DLTs),France; Germany; Israel; Italy; South Korea; Spain; Taiwan; United States,2016-02-19,2018-03-27,,https://clinicaltrials.gov/study/NCT02572687,2026-09-21T00:38:01.688835+00:00
NCT02644148,Uncut Roux-en-Y Gastrojejunostomy for Early Gastric Cancer Patients,UNKNOWN,PHASE2,150,The First Affiliated Hospital with Nanjing Medical University,Conventional Roux-en-Y Gastrojejunostomy; Uncut Roux-en-Y Gastrojejunostomy,Quality of life,China,2016-02,2018-02,,https://clinicaltrials.gov/study/NCT02644148,2026-09-21T00:38:01.688840+00:00
NCT05094336,A Study of Anvumetostat in Participants With Advanced MTAP-null Solid Tumors (MTAPESTRY 101),ACTIVE_NOT_RECRUITING,PHASE1; PHASE2,329,Amgen,Anvumetostat; Docetaxel; Comparator Anvumetostat Test Tablet,Parts 1 and 2: Number of Participants Who Experience a Dose-Limiting Toxicity (DLT); Parts 1 and 2: Number of Participants Who Experience a Treatment-emergent Adverse Event (TEAE); Part 3: Objective Response Rate (ORR),Australia; Austria; Belgium; Canada; China; France; Germany; Hong Kong; Japan; South Korea; Switzerland; Taiwan; United Kingdom; United States,2022-02-01,2026-11-30,,https://clinicaltrials.gov/study/NCT05094336,2026-09-21T00:38:01.688854+00:00
NCT07408609,Perioperative Chemotherapy With Low-Dose Radiotherapy and Tislelizumab for Locally Advanced Gastric or Gastroesophageal Junction Adenocarcinoma,NOT_YET_RECRUITING,PHASE2,114,Jiangsu Cancer Institute & Hospital,Low Dose Radiotherapy Combined with Tislelizumab and Chemotherapy; Chemotherapeutic Agent; low-dose radiotherapy,Pathological Complete Response (pCR) Rate (ITT Population),,2026-02-26,2029-02-20,,https://clinicaltrials.gov/study/NCT07408609,2026-09-21T00:38:01.688860+00:00
NCT03891784,"Abemaciclib in Treating Patients With Advanced, Refractory, and Unresectable Digestive System Neuroendocrine Tumors",ACTIVE_NOT_RECRUITING,PHASE2,20,University of Washington,Abemaciclib,Objective response rate (ORR),United States,2019-10-31,2025-11-01,,https://clinicaltrials.gov/study/NCT03891784,2026-09-21T00:38:01.688866+00:00
NCT07178340,Perioperative Therapy for HER2-negative Hepatoid Adenocarcinoma of Stomach,RECRUITING,PHASE2,30,Peking University Cancer Hospital & Institute,"Perioperative treatment with albumin-bound paclitaxel, oxaliplatin, tegafur,gimeracil and oteracil porassium capsules and sintilimab.",pathological complete response rate,China,2025-09-18,2027-09-20,,https://clinicaltrials.gov/study/NCT07178340,2026-09-21T00:38:01.688870+00:00
NCT07312760,Existential Distress in Advanced Cancer: Comparing a Short-term Psychodynamic Psychotherapy (ORPHYS) to Treatment as Usual (TAU),RECRUITING,NA,160,Universitätsklinikum Hamburg-Eppendorf,ORPHYS (ShORt-term psychodynamic psychotherapy in serious PHYSical illness); TAU (Treatment As Usual: Standard psycho-oncological care),"Demoralization assessed via the Demoralization Scale-II (DS-II; Robinson et al., 2016; Koranyi et al., 2021)",Germany,2025-10-24,2026-12,,https://clinicaltrials.gov/study/NCT07312760,2026-09-21T00:38:01.688877+00:00
NCT03614650,Immunotherapy Treating GI Cancer,NOT_YET_RECRUITING,PHASE1; PHASE2,100,Shenzhen Geno-Immune Medical Institute,engineered immune cells,percentage of adverse effects after EIE cell injection,China,2027-06-01,2028-06-30,,https://clinicaltrials.gov/study/NCT03614650,2026-09-21T00:38:01.688882+00:00
NCT03196791,Compare the Oncological Benefit of Deep Neuromuscular Block in Gastric Cancer Obesity Patient,COMPLETED,PHASE3,196,Korea University Anam Hospital,Sugammadex Sodium,Number of Retrieved Lymph Nodes Per Participant,South Korea,2017-10-10,2020-08-09,,https://clinicaltrials.gov/study/NCT03196791,2026-09-21T00:38:01.688889+00:00
NCT06346080,Molecular Analysis for Gastro-Esophageal Cancer: Multicenter Discrete Choice Experiment,RECRUITING,NA,2200,KU Leuven,Survey,The rate of contribution of diagnostic features to the preference of participants; The percentage differences in preference of participants between geographical regions,Belgium,2024-08-01,2026-08-01,,https://clinicaltrials.gov/study/NCT06346080,2026-09-21T00:38:01.688895+00:00
NCT06056024,A Study to Test How Well Different Doses of BI 3706674 Are Tolerated by People With Advanced Cancer in the Stomach and Oesophagus,COMPLETED,PHASE1,47,Boehringer Ingelheim,BI 3706674,Part A: Occurrence of dose limiting toxicities (DLTs) in the maximum tolerated dose (MTD) evaluation period; Part B: Occurrence of drug-related adverse events (AEs) ≥ Common Terminology Criteria for Adverse Events (CTCAE) Grade 3 during the on-treatment period; Part C: Objective response (OR) based on central assessment,Japan; South Korea; Taiwan; United States,2023-12-06,2025-12-17,,https://clinicaltrials.gov/study/NCT06056024,2026-09-21T00:38:01.688904+00:00
NCT04182724,"Camrelizumab, Apatinib and Nab-paclitaxel as Second-line Treatment in Advanced Gastric Cancer",UNKNOWN,PHASE1; PHASE2,57,Chinese PLA General Hospital,"Camrelizumab, Apatinib and Nab-paclitaxel",MTD /DLT (phase I); ORR(phase II),China,2019-11-12,2021-05-12,,https://clinicaltrials.gov/study/NCT04182724,2026-09-21T00:38:01.688909+00:00
NCT02585362,Whey Protein Supplement in Combination With Physical Exercise and Nutrition Program,COMPLETED,NA,52,Kantonsspital Winterthur KSW,physical exercise; nutrition counseling; whey protein supplement,Change in physical performance,Switzerland,2016-03,2018-10,,https://clinicaltrials.gov/study/NCT02585362,2026-09-21T00:38:01.688915+00:00
NCT05395910,Pressurized Intraperitoneal Aerosol Chemotherapy (PIPAC) and Electrostatic PIPAC (ePIPAC) With Paclitaxel In Patients With Peritoneal Carcinomatosis,UNKNOWN,PHASE1,36,"National University Hospital, Singapore",Paclitaxel,Tolerability of PIPAC /ePIPAC with Paclitaxel by monitoring dose limiting toxicities; Safety Profile of PIPAC/ePIPAC with Paclitaxel by monitoring adverse events,Singapore,2023-08-04,2025-12-31,,https://clinicaltrials.gov/study/NCT05395910,2026-09-21T00:38:01.688921+00:00
NCT01794793,Study to Allow Access to Pasireotide for Patients Benefiting From Pasireotide Treatment in Novartis-sponsored Studies,COMPLETED,PHASE4,337,RECORDATI GROUP,Pasireotide; Cabergoline; Pasireotide LAR,Incidence of Adverse Events to Evaluate Long Term Safety Data,Argentina; Belgium; Brazil; Bulgaria; Canada; France; Germany; Greece; Hungary; India; Israel; Italy; Japan; Malaysia; Mexico; Netherlands; Peru; Poland; Portugal; Romania; Russia; South Korea; Spain; Switzerland; Taiwan; Thailand; Turkey (Türkiye); United States,2013-06-10,2023-07-25,,https://clinicaltrials.gov/study/NCT01794793,2026-09-21T00:38:01.688938+00:00
NCT00511576,Study to Evaluate Combination Treatment of MGCD0103 and Docetaxel (Taxotere®) for Subjects With Advanced Cancer Tumors,TERMINATED,PHASE1,54,Mirati Therapeutics Inc.,MGCD0103 & Docetaxel,"To determine the maximum tolerated dose (MTD), dose limiting toxicities (DLTs), and safety profile of escalating doses of orally administered MGCD0103 in combination with two fixed doses (60 mg/m2 and 75 mg/m2) of IV docetaxel.; To assess the plasma pharmacokinetics (PK) of MGCD0103 (and/or its metabolites) and IV docetaxel administered in combination.; To evaluate potential pharmacodynamic (PD) effects of orally administered MGCD0103 in combination with IV docetaxel.; To determine the overall tumor response of orally administered MGCD0103 in combination with IV docetaxel according to Response Evaluation Criteria in Solid Tumors (RECIST) methodology.",United States,2007-08,2009-03,,https://clinicaltrials.gov/study/NCT00511576,2026-09-21T00:38:01.688944+00:00
NCT00006389,Bryostatin 1 and Cisplatin in Treating Patients With Metastatic or Unresectable Stomach Cancer,COMPLETED,PHASE2,12,National Cancer Institute (NCI),bryostatin 1; cisplatin; laboratory biomarker analysis,Observed Response Rate.,United States,2000-10,2010-03,,https://clinicaltrials.gov/study/NCT00006389,2026-09-21T00:38:01.688951+00:00
NCT03061162,Pulsed Low Dose Rate Radiation Therapy for Gastric Cancer Patients With Peritoneal Metastasis,UNKNOWN,NA,40,Yang Yang,pulsed low dose rate radiation therapy,Side effects of pulsed low dose rate radiation therapy,China,2017-03-01,2020-03-01,,https://clinicaltrials.gov/study/NCT03061162,2026-09-21T00:38:01.688956+00:00
NCT00960349,Study of Cediranib Plus Cisplatin Plus Capecitabine/S-1 in Japanese Gastric Cancer Patients,COMPLETED,PHASE1,14,AstraZeneca,Cediranib; Cisplatin; S-1; Cisplatin; Capecitabine,"Safety of each treatment arm will be measured in terms of adverse events, vital signs, clinical chemistry, haematology, urinalysis, electrocardiogram, and physical examinations.",Japan,2009-08,2010-01,,https://clinicaltrials.gov/study/NCT00960349,2026-09-21T00:38:01.688963+00:00
NCT03430440,Comparison of Analgesic Effects According to Patient-controlled Epidural Analgesia Modes in Patients Undergoing Open Gastrectomy,UNKNOWN,NA,76,Yonsei University,Apply CIPKA mode; Conventional mode,Postoperative pain (numerical rating scale: 0 ~ 10),South Korea,2017-03-01,2020-11-11,,https://clinicaltrials.gov/study/NCT03430440,2026-09-21T00:38:01.688967+00:00
NCT06157216,Minimal Residual Disease-guided Adjuvant Therapy for Gastric Cancer,ACTIVE_NOT_RECRUITING,NA,65,Qilu Hospital of Shandong University,MRD-guided therapy,3-year Disease-Free Survival (DFS) rate,China,2023-10-01,2027-04-01,,https://clinicaltrials.gov/study/NCT06157216,2026-09-21T00:38:01.688973+00:00
NCT05707338,Short-term Outcomes of Laparoscopic Versus Open Gastrectomy With Lymph Node Dissection for Early Gastric Cancer :a Randomized Controlled Study,UNKNOWN,NA,40,Sohag University,Gastrectomy with lymph node dissection,early postoperative complications,,2023-02,2024-09,,https://clinicaltrials.gov/study/NCT05707338,2026-09-21T00:38:01.688978+00:00
